zip_code,Population Density (Per Sq. Mile),incomeBelowPovertyLevelProportion,incomePerCapita,incomeGiniIndex,underPoverty,popDensity,whiteMajority,eduHsOrLessProportion,eduHsProportion,eduBachOrBetterProportion,eduEnrollmentProportion,eduDropoutProportion,employedProportion,employedPvtSecProportion,employedPubSecProportion,employedSelfEmpProportion,employedPvtNonProProportion,employedUnpaidFamProportion,insuredProportion,housingRentMoreThan30pcProportion,longitude,latitude
17829,246.6723,0.05806451612903226,33876.0,0.5263,0,246.6723,0.9800995024875622,0.2426470588235294,0.6397058823529411,0.11764705882352941,0.18461538461538463,0.6666666666666666,0.9702970297029703,0.6326530612244898,0.15306122448979592,0.1836734693877551,0.030612244897959183,0.0,0.7412935323383084,0.0,,
17830,64.68523,0.10246433203631647,24006.0,0.3555,0,64.68523,0.9853313100657562,0.14121037463976946,0.75,0.10878962536023054,0.18143459915611815,0.09859154929577464,0.9380252100840336,0.6629339305711086,0.12430011198208286,0.1276595744680851,0.0851063829787234,0.0,0.8897357723577236,0.3046875,,
17832,2091.952,0.1493212669683258,21035.0,0.4136,0,2091.952,0.9951040391676866,0.12926391382405744,0.7360861759425493,0.13464991023339318,0.2380352644836272,0.0,0.8735955056179775,0.752411575562701,0.11254019292604502,0.05466237942122187,0.08038585209003216,0.0,0.9424724602203183,0.3333333333333333,,
17834,669.9764,0.20463709677419356,23753.0,0.4458,0,669.9764,0.9979645245710963,0.12188965019834115,0.7244861161197259,0.15362423368193293,0.14696296296296296,0.0,0.9567411679884643,0.6752072343632253,0.18311981914091938,0.058025621703089676,0.08364732479276564,0.0,0.959290491421925,0.488135593220339,,
17835,736.4617,0.012145748987854251,23963.0,0.3205,0,736.4617,0.983957219251337,0.08482142857142858,0.8660714285714286,0.049107142857142856,0.32865168539325845,0.0,0.9842105263157894,0.7005347593582888,0.21390374331550802,0.053475935828877004,0.03208556149732621,0.0,0.9759358288770054,0.0,,
17836,52.99377,0.05202312138728324,27812.0,0.329,0,52.99377,0.9907834101382489,0.12162162162162163,0.7162162162162162,0.16216216216216217,0.21153846153846154,0.0,0.9682539682539683,0.6557377049180327,0.12295081967213115,0.13114754098360656,0.09016393442622951,0.0,0.9669811320754716,0.11764705882352941,,
17837,317.1883,0.09459921380960519,27414.0,0.4878,0,317.1883,0.8827160493827161,0.1494609604704345,0.4887291734727213,0.3618098660568442,0.33341989093741886,0.031121109861267343,0.9883548067393458,0.5350965154173979,0.10315868638756581,0.08912008022060666,0.2709952369014791,0.0016294810729506142,0.9428216984323897,0.400836820083682,,
17841,61.41184,0.12007454739084132,21370.0,0.3721,0,61.41184,0.9681266707793543,0.22091219360843933,0.6900403350915296,0.08904747130003103,0.20687446626814687,0.2320675105485232,0.9615931721194879,0.7692307692307693,0.09664694280078895,0.08431952662721894,0.04980276134122288,0.0,0.8299403660292001,0.35502958579881655,,
17842,102.9147,0.10226933412959092,24004.0,0.3842,0,102.9147,0.9838199085473092,0.1307426597582038,0.7443868739205527,0.12487046632124352,0.21949440933398154,0.060324825986078884,0.9504132231404959,0.736231884057971,0.10652173913043478,0.09347826086956522,0.058695652173913045,0.005072463768115942,0.9082267339514142,0.301255230125523,,
17844,94.18994,0.07107033639143731,25321.0,0.4023,0,94.18994,0.9776409284699195,0.15816111345423872,0.6483902713341768,0.19344861521158443,0.23495926980076554,0.18929254302103252,0.9516610675625233,0.5975681506177681,0.12531868993920375,0.15061776818984116,0.1176701313983134,0.008825259854873504,0.8493604926575082,0.43478260869565216,,
